GaelicKeywords,Tagged,GaelicKeywordsTraditionalSpelling,GaelicKeywordsIncorrectSpelling
"an seo, ","an-seo<Rs>, a-seo<Rs>, ana-seo<Rs>, ","an-seo, a-seo, ana-seo, ann a' seo, ",", "
"uime sin, ","uime sin, ",", ",", "
"gun mhaille, ",", ",", ",", "
"a-chaoidh, ","a-chaoidh<Rt>, chaoidh<Rt>, ","a chaoidh, chaoidh, ",", "
"a-chaoidh nan caoidhean, ",", ",", ",", "
"cheana, a-cheana, ","cheana<Rt>, a-cheana<Rt>, ",", ","ceana, "
"a chèile, chèile, a-chèile, ","a-chéile<Rs>, a-chèile<Rs>, ","a-chéile, a chéile, chéile, ",", "
"a dh'aithghearr, ","a<Sp> dh'aithghearr<Nf>, ",", ","aithghearr, "
"a dh'aona-bhàghadh, a dh'aon-bhàghadh, a dh'aon-bhàgh, a dh'aona-bhàgh, ","a<Sp> dh'aona-bhàghadh<Nf>, a<Sp> dh'aon-bhàghadh<Nf>, a<Sp> dh'aon-bhàgh<Nf>, a<Sp> dh'aona-bhàgh<Nf>, ",", ","bhàghadh, bhàgh, bhàdh, bhàthadh, a dh'aona bhàgh, a dh'aon-bhàdh, a dh'aona bhàdh, "
"a dh'aon bheum, a dh'aona bheum, ",", ",", ",", "
"a dh'aon bhuille, ",", ",", ",", "
"a dheòin, ","a<Sp> dheòin<Nf>, ",", ",", "
"a dhìth, ","a<Sp> dhìth<Nf>, a-dhìth<Rg>, "," a-dhìth, ",", "
"a dh'oidhche, ","a<Sp> dh'oidhche<Nf>, ",", ",", "
"a-ghnàth, ","a<Sp> ghnàth<Nf>, a-ghnàth<Rg>, ","a ghnàth, ","ghnàth, "
"a-bhàn, ","a-bhàn<Rs>, a bhàn<Rs>, a-mhàn<Rs>, a mhàn<Rs>, a-bhàin<Rs>, ","a bhàn, a-mhàn, a mhàn, a-bhàin, ",", "
"a-bhos, ","a-bhos<Rg>, a bhos<Rg>, ","a bhos, ",", "
"air dheireadh, ",", ",", ",", "
"air làrna-mhàireach, ","air làrna-mhàireach<Rg>, ","làrnamhaireach, lathairne-mhàireach, làirne-mhàireach, an latha iar na mhàireach, an là iar na mhàireach, an latha arna-mhàireach, ","la arn-a-mhàireach, latha arn-a-mhàireach, la arn a' mhàireach, latha arn a' mhàireach, an latha iar-na-mhàireach, an là iar-na-mhàireach, "
"air neo, ","air neo<Cc>, ",", ",", "
"am-bliadhna, ","am-bliadhna<Rt>, ","am bliadhna, ",", "
"am feadh, ","am<Sp> feadh<Nm>, ",", ",", "
"am feast, am-feast, am feasta, am-feasta, ","am-feast<Rs>, am-feasta<Rs>, am-feasd<Rs>, am-feasda<Rs>, am feast<Rs>, am feasta<Rs>, am feasd<Rs>, am feasda<Rs>, ","am feasd, am-feasd, am-feasda, am feasda, ",", "
"ann an ceartuair, ","ann an ceartair, ann an ceart uair, ann an ceartuair, ann an ceart-uair, ","ann an ceartair, ann an ceart uair, ann an ceart-uair, ","an geartair, "
"an-còmhnaidh, ","an-còmhnaidh<Rt>, an còmhnaidh<Rt>, an-còmhnuidh<Rt>, ","an còmhnaidh, an-còmhnuidh, ",", "
"an ìmpis, ","an<Sp> ìmpis<Nf>, ",", ",", "
"an toiseach, ","an<Sp> toiseach<Nm>, ",", ",", "
"a-nall, ","a-nall<Rs>, ",", ",", "
"an-aonair, ","an-aonair<Rt>, ",", ",", "
"an-diugh, ","an-diugh<Rt>, an diugh<Rt>, ","an diugh, ","niugh, "
"an-dràsta, ","an-dràsta<Rt>, an-dràsda<Rt>, an dràsta<Rt>, an dràsda<Rt>, ","an-dràsda, an dràsta, an dràsda, ",", "
"an-earar, ",", ",", ",", "
"an-eararais, ","an-eararais<Rt>, ",", ",", "
"a-nìos, nìos, ","a-nìos<Rs>, nìos<Rs>, ",", ",", "
"a-nis, nis, ","a-nis<Rt>, nis<Rt>, ",", ",", "
"a-nochd, ","a-nochd<Rt>, an-nochd<Rt>, nochd<Rt>, ","an-nochd, nochd, ",", "
"an sin, ana sin, ","an sin<Rs>, ana sin<Rs>, ana-sin<Rs>, an-sin<Rs>, a-sin<Rs>, a-sean<Rs>, ","ana-sin, an-sin, a-sin, a-sean, ","ann a' sin, "
"an siud, ana siud, ","an-siud<Rs>, a-siud<Rs>, an siud<Rs>, ana-siud<Rs>, an-siod<Rs>, a-siod<Rs>, ana-siod<Rs>, ana siud<Rs>, ","an-siud, a-siud, an siud, ana-siud, ann a' siud, an-siod, a-siod, ana-siod, ","ann a' siud, "
"a-nuas, ","a-nuas<Rs>, a nuas<Rs>, ","a nuas, ",", "
"a-null, ","a-null<Rs>, a null<Rs>, ","a null, ",", "
"a rèir, da rèir, do rèir, rèir, ","a-rèir<Rg>, a-réir<Rg>, a<Sp> réir<Nf>, a<Sp> rèir<Nf>, da<Sp> réir<Nf>, da<Sp> rèir<Nf>, do<Sp> rèir<Nf>, do<Sp> réir<Nf>, réir<Nf>, rèir<Nf>, ","a-réir, a réir, da réir, do rèir, réir, a-rèir, ",", "
"a rèir choltais, ",", ","a-réir coltais, a-réir choltais, ",", "
"a-rèiste, a-rèist, ","a-rèiste<Rt>, a-rèist<Rt>, a-réiste<Rt>, a-réisde<Rt>, a-réist<Rt>, a-réisd<Rt>, ","a-réiste, a-réisde, a-réist, a-réisd, ","réiste, réisde, rèiste, rèisde, "
"a-riamh, a riamh, ","a-riamh<Rt>, a riamh<Rt>, ",", ","a-riabh, a riabh, "
"a-rìs, a-rithis, ","a-rìs<Rt>, a-rithis<Rt>, ",", ",", "
"a-rithist, ","a-rithist<Rt>, a-rithisd<Rt>, ","a-rithisd, ","rithist, rithisd, "
"às bith, ",", ","ás bith, ",", "
"a-staigh, ","a-staigh<Rs>, a-stigh<Rs>, staigh<Rs>, stigh<Rs>, ","a-stigh, staigh, stigh, ",", "
"a-steach, ","a-steach<Rs>, steach<Rs>, ","steach, ",", "
"air los, ","air<Sp> los<Nm>, ",", ",", "
"bun os cionn, ","bun<Nm> os<Sp> cionn<Nm>, bun-os-cionn<Rg>, ","bun-os-cionn, ",", "
"carson, ","car son<Uq>, carson<Uq>, ","car son, ","c'arson, "
"caran, ",", ",", ",", "
"ciod air bith, ",", ",", ",", "
"ge 's bith, ",", ",", ",", "
"cuideachd, ","cuideachd<Rg>, ",", ",", "
"dhachaigh, Dhachaigh, ",", ","dhachaidh, Dhachaidh, ",", "
"eadhan, eadhain, ","eadhan<Rg>, eadhain<Rg>, eadhon<Rg>, eadhoin<Rg>, ","eadhon, eadhoin, ","eadha, "
"eile, ","eile<Aq>, ",", ",", "
"faidhir, fèadhair, fèidhr, fèir, fèidhir, ","féir<Rg>, féidhir<Rg>, faidhir<Rg>, fèadhair<Rg>, féidhr<Rg>, fèidhr<Rg>, fèir<Rg>, fèidhir<Rg>, ","féir, féidhir, féidhr, ",", "
"cas mu seach, ",", ",", ",", "
"fhathast, ","fhathast<Rt>, fhathasd<Rt>, ","fhathasd, ",", "
"fòs, ","fòs<Rg>, ",", ",", "
"ge be air bith, ",", ",", ",", "
"ge brith, ga brith, ",", ",", ",", "
"gidheadh, ","gidheadh<Rg>, ",", ",", "
"gu dearbh, gu dearbha, ",", ","gu dearbhadh, ","gu dearra, "
"gu dìlinn, ",", ",", ","gu dìlum, "
"gu dòigheil, ",", ",", ",", "
"gu mionaideach, ",", ",", ",", "
"gun fhiosta, gun fhiost, ",", ","gun fhiosda, gun fhiosd, ","gun fhios-da, "
"idir, ","idir<Rg>, ",", ",", "
"ma dh'fhaoidte, math dh'fhaoidte, ma dh'fhaodte, math dh'fhaodte, ","ma dh'fhaoidte<Rg>, ma dh'fhaodte<Rg>, ma dh'fhaoite<Rg>, ma dh'fhaodteadh<Rg>, ma dh'fhaoidteadh<Rg>, ma dh'fheudte<Rg>, math dh'fhaodteadh<Rg>, ","ma dh'fhaoite, ma dh'fhaodteadh, ma dh'fhaoidteadh, ma dh'fheudte, ","math dh’fhaodte, math dh'fhaoite, math dh'fhaodteadh, math dh'fhaoidteadh, math dh'fheudte, "
"mu seach, ma seach, ","mu<Sp> seach<Rg>, ma<Sp> seach<Rg>, ",", ",", "
"mu thràth, ",", ",", ",", "
"os ìseal, ",", ",", ",", "
"calg-dhìreach, ","calg-dhìreach<Rg>, ",", ",", "
"ri chèile, ",", ","ri chéile, ",", "
"ri làimh, ",", ",", ",", "
"sam bith, bith, ",", ",", ",", "
"seachad, ","seachad<Rs>, ",", ",", "
"shìos, ","shìos<Rs>, ",", ",", "
"shuas, ","shuas<Rs>, ",", ",", "
"sìos, ","sìos<Rs>, ",", ",", "
"suas, ","suas<Rg>, ",", ",", "
"thall, ","thall<Rg>, ",", ",", "
"thall thairis, ",", ",", ",", "
"tro chèile, tro-chèile, ",", ","tro chéile, tro-chéile, ",", "
"uaireannan, ","uaireannan<Rt>, ",", ",", "
"uile-thimcheall, ","uile-thimcheall<Rg>, ",", ",", "
"rathadeigin, ","rathad-eigin<Rg>, rathadeigin<Rg>, ","rathad-eigin, ",", "
"rudeigin, ","rudeigin<Rg>, rud-eigin<Rg>, ","rud-eigin, ",", "
"gu h-os ìseal, ",", ",", ",", "
"ann an coitcheannas, ",", ",", ",", "
"os ìosal, ","os<Sp> ìosal<Nf>, ",", ",", "
"air leth, ",", ",", ",", "
"fa-leth, ","fa-leth<Rg>, fa<Sp> leth<Nf>, ","fa leth, ",", "
"àiteigin, ","àit-eigin<Rg>, àiteigin<Rg>, ","àit-eigin, ",", "
"fa-dheòidh, ",", ","fa dheòigh, fa dheòidh, fa-dheòigh, ",", "
"air ais, ",", ",", ",", "
"an-asgaidh, ",", , , , , an-asgaidh<Rg>, ",", , , , , , ","an-asgaibh, nasky, , , , , , "
"a' bhòn-dè, ",", ","a-bhóin-dé, a-bhóindé, a-bhón-dé, a-bhóndé, a-bhòin-dè, a-bhòindè, a-bhòn-dè, a-bhòndè, ","bhóin-dé, bhóindé, bhón-dé, bhóndé, bhòin-dè, bhòindè, bhòn-dè, bhòndè, bho'n-dé, "
"gu bràth, ",", ","gu bràch, ",", "
"a dh'aona-ghnothach, a dh'aon-ghnothach, a dh'aona-ghnothaich, a dh'aon-ghnothaich, aona-ghnothach, aon-ghnothach, aona-ghnothaich, aon-ghnothaich, ",", ",", ",", "
"à seo suas, ",", ","á seo suas, ",", "
"dha-rìribh, dha-rìreabh, ","dha-rìribh<Rg>, dha-rìreabh<Rg>, ",", ",", "
"co-dhiù, ","co-dhiù<Rg>, co-dhiubh<Rg>, co-dhiùbh<Rg>, ","co-dhiubh, co-dhiùbh, ",", "
"gu h-àraid, àraid, ","gu h-àraid<Rg>, ",", ",", "
"car, ",", ",", ",", "
"fad às, ",", ","fad ás, ",", "
"a-mach, ","a-mach<Rs>, mach<Rs>, ","mach, ","amach, "
"a-màireach, ","a-màireach<Rt>, am-màireach<Rt>, a màireach<Rt>, ","a màireach, am-màireach, ",", "
"a-mhàin, ","a-mhàin<Rg>, ",", ",", "
"a-muigh, ","a muigh<Rs>, a-muigh<Rs>, ","a muigh, ",", "
"an uair sin, ",", ","an uairsin, nuairsin, nuair sin, ",", "
"a-nunn, ","a-nunn<Rs>, a nunn<Rs>, ","a nunn, ",", "
"o chionn, ","o<Sp> chionn<Nf>, ",", ",", "
"a-raoir, ","an-raoir<Rs>, a-raoir<Rs>, a raoir<Rs>, ","an-raoir, raoir, ",", "
"an sàs, ","an-sàs<Nf>, an<Sp> sàs<Nf>, ","an-sàs, ",", "
"seach, ","seach<Rs>, ",", ",", "
"siar, shiar, Siar, Shiar, ","siar<Rs>, shiar<Rs--l>, Siar<Rs>, Shiar<Rs--l>, ",", ","Siair, Shiair, "
"thairis, ","thairis<Rs>, ",", ",", "
"uaireigin, ","uaireigin<Rg>, uair-eigin<Rg>, ","uair-eigin, ","uaireiginn, "
"a' bhòn-raoir, ","a-bhòn-raoir<Rt>, bhòn-raoir<Rt>, ","a-bhòn-raoir, ","bho raoir, bhò-raoir, "
"an-uiridh, ","an-uiridh<Rt>, ",", ","nuiridh, "
"a' bhòn-uiridh, ","a-bhòn-uiridh<Rt>, a bhòn-uiridh<Rt>, a' bhòn-uiridh<Rt>, bhòn-uiridh<Rt>, a' bhòn-uiridh<Rt>, ","a-bhòn-uiridh, a bhòn-uiridh, a' bhòn-uiridh, bhòn-uiridh, ",", "
"a-chianaibh, ","a<Sp> chianamh<Nf>, a-chianaibh<Rg>, a<Sp> chianaibh<Nf>, ","a chianamh, a chianaibh, ",", "
"a h-uile, ","a h-uile<Ar>, a chuile<Ar>, ","a chuile, ","chula, "
"air thoiseach, ",", ",", ",", "
"amhlaidh, ","amhlaidh<Rg>, ","amhluidh, ","àmhla, "
"araon, ar-aon, ","araon<Rt>, ar-aon<Rt>, ",", ",", "
"a thuilleadh, ",", ",", ",", "
"rè seal, rè seala, ",", ","ré seal, ré seala, ",", "
"casa-gòbhlagain, casa-gòbhlagan, ",", ",", ","casa-golaigein, "
"glè, ghlè, ",", ","glé, ghlé, ",", "
"sear, shear, ","sear<Rs>, shear<Rs--l>, ",", ",", "
"fiù 's, ",", ",", ","fiughs, "
"cho, ",", ",", ","chomha, chomh, "
"air choreigin, ",", ","air choireigin, air chor-eigin, air choir-eigin, ","choireiginn, "
"a-nist, nist, a-niste, niste, ","a-nist<Rg>, nist<Rg>, a-niste<Rg>, niste<Rg>, a-nisd<Rg>, nisd<Rg>, a-neist<Rg>, a-nisde<Rg>, nisde<Rg>, a-neisd<Rg>, ","a-nisd, nisd, a-neist, a-nisde, nisde, a-neisd, ",", "
"ana sheothach, ","ana-sheothach<Rs>, ana-sheo-ach<Rs>, ana sheothach<Rs>, ","ana-sheo-ach, ana-sheothach, ","ann a sheoach, ana sheo-ach, "
"ana shineach, ","ana-shineach<Rs>, ana shineach<Rs>, ","ana-shineach, ",", "
"ana shiudach, ","ana-shiudach<Rs>, ana shiudach<Rs>, ","ana-shiudach, ",", "
"a chionn, ","a<Sp> chionn<Nf>, ",", ",", "
"an-dè, ","an-dé<Rt>, an-dè<Rt>, ","an-dé, ",", "
"gu lèir, ",", ","gu léir, ",", "
"da-rìribh, ",", ","da-rìreabh, ",", "
"dha-rìreadh, dha-rìridh, ",", ",", ",", "
"da-rìreadh, da-rìridh, ",", ",", ",", "
"mar-thà, ",", ","mar-tha, mar tha, ",", "
"còmhla, ",", ","còmhladh, còla, ",", "
"luaithe, ",", ",", ",", "
"a làimh, de làimh, ",", ",", ",", "
"gu deimhinn, gu deimhinne, ",", ",", ",", "
"fa sgaoil, ",", ",", ",", "
"air seòl, ",", ",", ",", "
"gu beagnaich, ",", ",", ",", "
"fairis, ",", ",", ",", "
"daonnan, daonndan, ","daonnan<Rt>, daonndan<Rt>, ",", ","daonan, "
"mu dheireadh, ",", ",", ",", "
"nar, nara, ","nar<Qno>, nara<Qno>, ",", ",", "
"dar, ","dar<Cs>, dur<Cs>, ","dur, ","dair, "
"comh, ",", ",", ",", "
"leth-oir, leathoir, lethoir, ","leth-oir<Rs>, leathoir<Rs>, lethoir<Rs>, ",", ","letheir, "
"ga-rìribh, ga-rìreabh, ",", ",", ",", "
"gu leòr, gu leòir, ",", ",", ",", "
"làrna-nearar, làirne-nearar, ",", ","làrna nearar, làrna n-earar, làirne nearar, ",", "
"fa-near, ","fa-near<Rg>, fainear<Rg>, ","fainear, ",", "
"mar-aon, maraon, ",", ",", ",", "
"a-rìribh, a-rìreabh, ",", ",", ",", "
"gu tur, ",", ",", ",", "
"eileadh, ",", ",", ",", "
"amhail, ",", ","amhuil, ",", "
"far-aon, ",", ","faraon, ",", "
"a-nios, ",", ",", ",", "
"ionnas, ",", ","ionnus, ionn's, ",", "
"air n-ais, ",", ",", ","air nais, "
"a' bhèan-uiridh, ",", ","a-bhèan-uiridh, a bhèan-uiridh, bhèan-uiridh, ",", "
"an-uraidh, ",", ",", ","nuraidh, "
"a-stàn, ",", ",", ",", "
"gar bith dè, ge air bith dè, ",", ","gar bith dé, ge air bith dé, ",", "
"na, ",", ",", ",", "
"fathast, ",", ",", ",", "
"ro, ","ro<Rv>, ",", ",", "
"ion, ",", ",", ",", "
"badeigin, bhadeigin, ",", ","bad-eigin, bhad-eigin, ",", "
"latheigin, ",", ","latha-eigin, lathaeigin, ",", "
"ana sineach, ","an-sineach<Rs>, ana-sineach<Rs>, ana sineach<Rs>, ","an-sineach, ana-sineach, ",", "
"neo-ar-thaing, neo-air-thaing, neo ar thaing, neo air thaing, ",", ",", ","neòr-thaing, "
"a-choidhche, a-choidhch, ",", ","choidhch, choidhche, ",", "
"rìribh, rìreabh, ",", ",", ",", "
"ga-rìreadh, ",", ",", ",", "
"an-iarraidh, ",", ","a-niarraidh, ",", "
"a-suas, ",", ",", ",", "
"thamaidh, ",", ",", ","hamaidh, "
"roimhe, ",", ","reimhe, ",", "
"roimhid, ",", ",", ",", "
"reimhid, ","reimhid<Pr3sm>, ",", ","reithid, "
"daonnant, ",", ",", ",", "
"uthard, ","uthard<Rg>, ",", ","uthaird, "
"urrad, urad, ",", ",", ","thurrad, h-urrad, "
"uiread, h-uiread, ",", ",", ","thuiread, "
"ana sheo, ","ana-sheo<Rs>, ann a' sheo<Rs>, ana sheo<Rs>, ","ann a' sheo, ana-sheo, ",", "
"a sheo, ","a-sheo<Rs>, a sheo<Rs>, ","a-sheo, ",", "
"a shin, ","a-shin<Pd>, a shin<Pd>, ","a-shin, ",", "
"ana shin, ","ana-shin<Rs>, ann a' shin<Rs>, ana shin<Rs>, ","ana-shin, ann a' shin, ",", "
"ana shiud, ","ana-shiud<Rs>, ann a' shiud<Rs>, ana-shiod<Rs>, ana shiud<Rs>, ","ana-shiud, ann a' shiud, ana-shiod, ",", "
"a shiud, ","a-shiud<Rs>, a shiud<Rs>, ","a-shiud, ",", "
"fhathastaich, ",", ","fhathasdaich, ","fhathasd-ich, "
"a-rithistich, ",", ","a-rithisdich, rithistich, rithisdich, ",", "
"ana seothach, ","ana-seothach<Rs>, ana seothach<Rs>, ","ana-seothach, ","ana-seo-ach, ana-seoach, "
"a-sìos, ",", ",", ",", "
"àiteigineach, ",", ","àit-eigineach, àiteiginich, àit-eiginich, ",", "
", ","co<Rg>, ","co, ",", "
"ge air bith, gar bith, ",", ",", ",", "
"uair a, ar a, air a, ",", ",", ",", "
"nas leòr, ",", ",", ",", "
"a' bhian-uiridh, ",", ","a-bhian-uiridh, bhian-uiridh, ","mhiann-uiridh, "
"an làrna-mhàireach, an làirne-mhàireach, ",", ","an làrna mhàireach, an làrnamhaireach, an lathairne-mhàireach, an latha iar na mhàireach, an là iar na mhàireach, an latha àrna-mhàireach, ",", "
"butar 's cionn, butar os cionn, ",", ",", ","butarscionn, butar-scionn, butascionn, "
"do los, los, ",", ",", ","dorras, "
"fo-near, ","fo-near<Rg>, foinear<Rg>, ","foinear, ","fo'n ear, "
"a-nise, nise, ","a-nise<Rt>, nise<Rt>, ",", ",", "
"ana siudach, ","ana-siudach<Rs>, ana siudach<Rs>, ","ana-siudach, ",", "
"an seothachd, ","an-seothachd<Rs>, ","an-seothachd, ","a-seoachd, "
"ana sineachd, ","ana-sineachd<Rs>, ana sineachd<Rs>, ","ana-sineachd, ","ann a' sineachd, ann a sineachd, "
"làrna-mhàireach, ","làrna-mhàireach<Rg>, ","làrnamhaireach, lathairne-mhàireach, làirne-mhàireach, an latha iar na mhàireach, an là iar na mhàireach, an latha arna-mhàireach, ","la arn-a-mhàireach, latha arn-a-mhàireach, la arn a' mhàireach, latha arn a' mhàireach, an latha iar-na-mhàireach, an là iar-na-mhàireach, "
"air choreiginich, ",", ","air chor-eiginich, air choir-eiginich, air choireiginich, ",", "
"ana sheothachd, ","ana-sheothachd<Rs>, ana sheothachd<Rs>, ","ana-sheothachd, ","ana-sheoachd, "
"air brith, ",", ",", ",", "
"os n-ìosal, ",", ",", ",", "
"an-asgraidh, ","an-asgraidh, ",", ",", "
"cnàimh-gòbhlagain, ",", ",", ","cnaimh-golaigein, "
"an-ath-oidhche, an-ath-oidhch, ",", ","an ath-oidhche, an ath-oidhch', ",", "
"bho riamh, ","bho riamh<Rt>, ",", ",", "
